172.16.11.7  #snas3
172.16.11.8  #snas
172.16.11.9  #SOLNAS-iscsi
172.16.11.10 #SOLNAS-lan_ip
172.16.11.11 #srdyps srdyps.srd.rdc.com.tw
172.16.11.12 #srdyps2 srdyps2.srd.rdc.com.tw
172.16.11.11 #srdyps srdyps.srd.rdc.com.tw
172.16.11.12 #srdyps2 srdyps2.srd.rdc.com.tw
172.16.11.16 #NS_AG
172.16.11.17 #NS_SLB
172.16.11.18 #NS_subnet
172.16.11.19 #NS_SRDNS_Manager
172.16.11.30 #srddc1
172.16.11.32 #srdddc1&sf
172.16.11.33 #srdddc2&sf
172.16.11.34 #srdxa1
172.16.11.35 #srddc2
172.16.11.36 #srdterm1
172.16.11.37 #srddb&lic
172.16.11.44 #P920-1
172.16.11.45 #cent01
172.16.11.46 #cent02
172.16.11.47 #cent03
172.16.11.48 #cent04
172.16.11.49 #cent05
172.16.11.50 #lm-svr-1
172.16.11.51 #lm-svr-2
172.16.11.52 #lm-svr-3
172.16.11.53 #P920-2
172.16.11.54 #P920-3
172.16.11.55 #SR650-1
172.16.11.56 #SR650-2
172.16.11.57 #SR650-3
172.16.11.58 #SR650-4
172.16.11.60 #lm-gen-svr
172.16.11.61 #school-1
172.16.11.62 #SR650-5
172.16.11.63 #SR650-6
172.16.11.64 #HPC1
172.16.11.66 #SR650-7
172.16.11.67 #lm-svr-4
172.16.11.68 #R710-1
172.16.11.69 #R720-1
172.16.11.70 #RDC85
172.16.11.71 #X299A-1
172.16.11.80 #lm-svr-5
172.16.11.81 #v-sr6501
172.16.11.82 #RDC82
172.16.11.83 #vm74-1
172.16.11.84 #SR665-1
172.16.11.86 #RDC86
172.16.11.87 #TR5975WX-1
172.16.11.88 #TR5975WX-2
172.16.11.89 #TR5975WX-3
172.16.11.90 #TR7975WX-1
172.16.11.91 #SR665-2
172.16.11.92 #TR7975WX-2
172.16.11.111 #tr3960
172.16.11.112 #vm-redhat84
172.16.11.211 #rdc_nas1
172.16.11.212 #rdc_nas2
172.16.11.213 #rdc_nas3
172.16.11.214 #rdc_nas4
172.16.11.238 #Win10-64-2
172.16.11.240 #Win10-32-1
172.16.11.241 #Win10_NTP
172.16.11.242 #BM1AD-2
